question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Relógios,Difícil,18.50796931399964,2832,0.022788,TLE,3.0,34,0,0,14,0,48
Cabo de guerra,Fácil,3.1601321779999125,1380,0.005232,AC,0.5472769000007247,76,0,0,0,0,76
Toupeira,Médio,4.72955911399913,1854,0.009306,AC,1.0943360999990546,26,0,0,0,0,26
Copa,Fácil,3.760361953001848,1236,0.006336,AC,0.4821444999997766,58,0,0,0,0,58
Corredor,Médio,3.6480613319981785,1046,0.004302,AC,0.3750942999995459,30,0,0,0,0,30
Linhas de Ônibus,Médio,12.31094753599973,2199,0.016953,AC,0.6680520000008983,65,0,0,0,0,65
Câmeras,Médio,8.464895068998885,2045,0.014463,AC,0.4970549999998184,60,0,0,0,0,60
Passatempo,Médio,9.651971606999725,2096,0.015204,AC,0.47684560000016063,30,0,0,0,0,30
Trilhas,Médio,5.31122687899915,1907,0.009837,AC,0.23039809999863792,20,0,0,0,0,20
Escada perfeita,Médio,10.529981758998474,1839,0.012393,WA,0.39976739999838173,59,1,0,0,0,60
Sequência Secreta,Médio,9.023211561001515,1492,0.009828,AC,0.21195579999948677,19,0,0,0,0,19
Cortando o Papel,Médio,21.57972962599888,2067,0.020613,TLE,3.0,10,0,0,12,0,22
Acelerador de Partículas,Fácil,9.408401441000024,1414,0.010194,RE,0.5766504000002897,0,0,39,0,0,39
Teleférico,Fácil,2.404345822000323,957,0.003639,AC,0.3937365999991016,36,0,0,0,0,36
Catálogo de Músicas,Difícil,22.29246159899776,2907,0.025089,TLE,3.0,9,0,0,17,0,26
Fissura Perigosa,Médio,6.075880925000092,1594,0.009114,AC,0.4011965000008786,34,0,0,0,0,34
Jogo de Tabuleiro,Médio,3.168319018001057,1400,0.006132,AC,0.2852768000011565,28,0,0,0,0,28
Fuga,Difícil,457.3502177589981,35355,0.512397,RE,0.7333779000000504,0,0,34,0,0,34
Visita entre cidades,Médio,9.38365383799828,1439,0.007941,AC,0.22031450000031327,19,0,0,0,0,19
Jardim de infância,Médio,14.079883572001563,3257,0.023475,AC,0.36384779999934835,80,0,0,0,0,80
Jogo de Cartas,Fácil,15.472751229997812,1871,0.011301,WA,3.0,0,30,0,30,0,60
Móbile_2015,Fácil,3.2402799280025647,976,0.003708,AC,0.2586833999994269,30,0,0,0,0,30
Transporte de Contêineres,Fácil,2.826692240003468,1225,0.004647,AC,0.37464940000063507,49,0,0,0,0,49
Jogo do Preto e Branco,Médio,12.217587199000263,2142,0.017082,AC,0.3303663000006054,40,0,0,0,0,40
Floresta,Fácil,8.474130914000852,1626,0.0114539999999999,AC,0.35868090000076336,33,0,0,0,0,33
Quadrado Mágico_2011,Fácil,5.544993932999205,1361,0.008583,AC,1.1327036999991833,53,0,0,0,0,53
Trio de Palitinhos,Médio,5.666167531002429,2011,0.010005,AC,0.7525898000003508,33,0,0,0,0,33
Setas,Médio,10.823559890999604,1938,0.016242,AC,0.9301381000004767,60,0,0,0,0,60
