question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,4.365136558000813,1561,0.006807,AC,0.04288720499971532,22,0,0,0,0,22
Gomoku,Médio,3.7098708630001056,1868,0.008472,AC,0.0462212329994145,30,0,0,0,0,30
Notas da Prova,Fácil,2.068115562000457,1073,0.004059,WA,0.035344162000001234,7,13,0,0,0,20
Jogo da Vida,Médio,5.424749675999919,1999,0.010245,AC,0.15591959199991834,19,0,0,0,0,19
Muro,Médio,23.6033698550018,2371,0.025077,WA,0.0459822870006974,3,38,0,0,0,41
O Chefe,Médio,25.68422715500492,2881,0.023127,AC,0.2177869480001391,28,0,0,0,0,28
Proteja sua senha,Médio,8.790060610997898,1763,0.011481,WA,0.025044220999916433,5,5,0,0,0,10
Chinelos,Fácil,2.2772917769980268,1181,0.004755,AC,0.03441419099999621,16,0,0,0,0,16
Jogo dos copos,Fácil,2.8499083899951074,1264,0.005772,AC,0.06847134399959032,50,0,0,0,0,50
Tiro ao Alvo,Médio,7.779379316001723,1674,0.010386,AC,0.38807860300039465,41,0,0,0,0,41
Robô_2021,Médio,3.052432055999816,1295,0.004869,WA,0.05539918900012708,33,17,0,0,0,50
Transportes,Difícil,8.52217160500004,2971,0.017397,TLE,3.0,96,0,0,11,0,107
Jogo de Dominós,Fácil,2.390788079996128,787,0.0026969999999999,AC,0.06388110399984726,42,0,0,0,0,42
Arco e flecha,Médio,4.797773326004972,1388,0.007428,RE,0.15726980799990997,0,0,39,0,0,39
Móbile,Médio,6.969825177999155,1731,0.010065,WA,0.1779130230006558,102,1,0,0,0,103
Campo de Minhocas,Fácil,4.656207127001835,1496,0.006168,AC,0.04883608500040282,20,0,0,0,0,20
Entrega de Caixas,Fácil,16.694632538004953,1843,0.016269,AC,0.045226064000416955,22,0,0,0,0,22
Cinema,Fácil,12.102004208994911,1159,0.010785,RE,0.11324873499961541,0,0,20,0,0,20
Montanha,Médio,2.107391013996676,985,0.003951,AC,0.07036448000053497,33,0,0,0,0,33
Torre,Médio,3.07901932799723,1120,0.005676,WA,0.677538488999744,0,33,0,0,0,33
Mesa redonda,Fácil,7.020758243001183,1279,0.007089,AC,0.07217818699973577,65,0,0,0,0,65
Pizzaria,Fácil,2.1098400880000554,1067,0.003645,AC,0.024686806999852706,10,0,0,0,0,10
Redes de Descanso,Médio,14.39905987399834,1906,0.014982,AC,0.2041651079998701,35,0,0,0,0,35
Mancha,Médio,10.087580825005716,1999,0.014649,AC,0.24498791699988942,30,0,0,0,0,30
Escher,Fácil,2.742087626000284,950,0.003954,WA,0.08409581799969601,46,8,0,0,0,54
Nova avenida,Fácil,8.575886673999776,1521,0.011115,AC,0.0773300789996938,12,0,0,0,0,12
Game Show,Fácil,2.0798819509946043,1362,0.004878,AC,0.04679390500041336,25,0,0,0,0,25
Manchas de pele,Difícil,4.57886121699994,1402,0.007818,AC,0.8060241980001592,61,0,0,0,0,61
Castelos da Nlogônia,Médio,7.203089899994666,1644,0.010548,AC,0.058269045999622904,36,0,0,0,0,36
Capitais,Difícil,20.756234253,2177,0.022059,AC,0.37940483700003824,38,0,0,0,0,38
Quadrado Mágico_2022,Médio,3.926381252997089,1060,0.005952,AC,0.031048511999870243,20,0,0,0,0,20
Piloto Automático,Fácil,2.126426053000614,921,0.003723,AC,0.03229452899995522,17,0,0,0,0,17
Falta uma,Fácil,3.0984264929938945,893,0.004611,AC,0.2820163779997529,28,0,0,0,0,28
