question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caçadores de Mitos,Fácil,2.763794215999951,1037,0.004005,AC,0.6412458090007931,20,0,0,0,0,20
Linhas Cruzadas,Médio,2.866061217000152,811,0.004265,AC,0.40475786899969535,40,0,0,0,0,40
Bolas,Fácil,1.2785529330003556,609,0.0022225,AC,0.06361218800066126,19,0,0,0,0,19
Xadrez Aleatório,Médio,2.451800377999916,789,0.003635,AC,0.07924448199992185,57,0,0,0,0,57
Bombom,Fácil,2.41901116400004,917,0.00443,AC,0.0759327329997177,50,0,0,0,0,50
Câmara de Compensação,Difícil,3.1319037260000187,1549,0.0065975,AC,0.9107353219997094,28,0,0,0,0,28
Taxa,Difícil,6.946219132999886,1579,0.0105975,AC,1.4289036580003085,36,0,0,0,0,36
Atlanta,Fácil,4.119098080000185,1015,0.007075,WA,0.05766361799942388,12,28,0,0,0,40
Fuga com helicóptero,Fácil,1.289162271999885,742,0.002655,WA,0.09097781699983898,0,74,0,0,0,74
Pirâmide,Fácil,2.7061039089999213,859,0.00296,WA,0.05436144199939008,1,38,0,0,0,39
Wifi,Difícil,10.732073381000191,1615,0.0131875,WA,1.480259771999954,3,19,0,0,0,22
Fitas Verde-amarelas,Difícil,9.570719088999796,2229,0.016135,WA,3.0,3,56,0,1,0,60
Retângulo,Difícil,2.692696694999995,833,0.0039325,WA,0.12156767799933732,33,2,0,0,0,35
Copa do Mundo,Médio,1.673354904000007,891,0.0034775,AC,0.07391699400068319,50,0,0,0,0,50
Passa Bolinha,Difícil,3.799195259000044,1138,0.006145,AC,0.08560752099947422,40,0,0,0,0,40
Transmissão de Energia,Médio,5.324443155000154,1205,0.006425,AC,0.12808577000032528,10,0,0,0,0,10
Quadrado,Médio,3.6005611059999865,928,0.00562,AC,0.05897228800040466,30,0,0,0,0,30
Chocolate,Fácil,1.1965152970001327,867,0.002855,AC,0.08367495899983624,99,0,0,0,0,99
Xadrez,Fácil,3.2165217799997663,646,0.0021025,AC,0.05778656900019996,26,0,0,0,0,26
Pizza,Médio,4.763283727000271,1173,0.00562,AC,0.2514164530002745,48,0,0,0,0,48
Construção de Rodovia,Difícil,4.949326708000172,1246,0.0084525,WA,0.813963583000259,4,9,0,0,0,13
Dividindo o império,Médio,3.389112306000243,986,0.0054275,AC,0.2139719580000019,18,0,0,0,0,18
Cinco,Médio,6.301470144999712,1321,0.008315,WA,0.08500207599990972,9,55,0,0,0,64
Quebra-cabeça,Médio,3.2773694600000454,799,0.003385,AC,0.47390739799993753,24,0,0,0,0,24
